Location,Period,Life Expectancy,Birth Attended,Medical Doctor Available,Nurse and Midwife Available
Trinidad and Tobago,2010,72.12,99.2,11.88857143,32.00857143
Trinidad and Tobago,2000,69.7,99,8.881666667,26.25833333
Tunisia,2019,77.04,99.5,12.83,25.86
Tunisia,2015,76.7,73.6,12.94,26.605
Tunisia,2010,76.05,94.6,10.0475,22.992
Turkey,2019,78.62,98,18.14,26.42
Turkey,2015,77.79,97.7,17.542,25.248
Turkey,2010,76.89,91.3,15.229,19.288
Turkmenistan,2010,67.31,98.35,29.246,55.087
Uganda,2015,64.47,57.4,0.965,13.2225
Uganda,2010,59.67,41.9,1.015,10.33
Ukraine,2015,72.2,99.675,33.66,73.0375
Ukraine,2010,70.2,99.77,31.355,67.875
Ukraine,2000,67.53,99.9,30.3,65.95
United Arab Emirates,2015,75.31,99.9,17.722,36.296
United Arab Emirates,2010,74.86,100,16.813,31.998
United Republic of Tanzania,2019,67.34,63.5,0.14,5.84
United Republic of Tanzania,2010,61.39,48.9,0.23,3.075
United States of America,2019,78.5,99.1,25.88,145.5
United States of America,2010,78.56,99.36,24.77,125.9
Uruguay,2019,77.1,100,39.56,19.41
Uruguay,2010,76.36,99.6,38.37,32.41333333
Uzbekistan,2015,71.45,100,24.3175,114.15
Uzbekistan,2010,70.19,99.96,26.932,109.51
Vanuatu,2015,64.64,89.4,1.84,18.4
Vanuatu,2010,64.52,85.725,1.273333333,16.74
Vanuatu,2000,63.9,88,1.14,24.47
Venezuela (Bolivarian Republic of),2010,74.79,95,19.48,11.36
Viet Nam,2015,73.16,92.85,8,11.48
Viet Nam,2010,72.72,83.8,6.285,9.3925
Yemen,2015,67.47,39.55,5.25,8.226666667
Yemen,2010,67.7,35.7,3.26,7.105
Zambia,2015,60.5,63.3,1.655,1.86
Zambia,2010,56.67,45.2,0.703333333,7.102
Zimbabwe,2019,60.68,86,1.79,19.77333333
Zimbabwe,2015,58.48,74.76666667,1.104,13.654
Zimbabwe,2010,51.49,64.35,1.103333333,8.89
